"","Return","rsi","sma","lma","adx"
"788","Up",26.7,168.2,173.1,28.3
"789","Up",39.9,167.5,172.9,28.4
"790","Up",40.9,166.8,172.8,28.2
"791","Up",43.9,166.3,172.7,27.8
"792","Down",44.2,165.9,172.5,27.2
"793","Down",40.6,165.3,172.1,26.9
"794","Up",32.9,164.7,171.6,27.3
"795","Up",39.8,164.2,171.2,28
"796","Up",41.6,163.7,170.8,28.2
"797","Down",41.2,163.1,170.4,28.9
"798","Down",26.6,162.2,169.9,30.1
"799","Down",18.2,161,169.3,31.9
"800","Up",12.2,159.8,168.6,34.1
"801","Up",18.8,158.5,168,36.2
"802","Down",16.5,157.3,167.3,37.8
"803","Up",13.1,156.2,166.5,39.5
"804","Up",17.7,155,165.9,41.1
"805","Up",24.7,154.3,165.2,42
"806","Down",40.8,153.9,164.6,41.6
"807","Down",35.2,153.3,163.9,40.8
"808","Up",32.5,152.6,163.3,40.5
"809","Down",35.4,151.7,162.7,39.9
"810","Down",30.8,150.6,162.1,39.7
"811","Up",26.2,149.4,161.3,39.9
"812","Up",41,148.3,160.7,40.3
"813","Up",43.7,147.4,160.1,40.3
"814","Up",47.1,146.6,159.6,40
"815","Up",60.1,146,158.9,38
"816","Up",64,145.4,158.2,35.8
"817","Up",68.5,144.9,157.7,33.4
"818","Up",76.3,144.9,157.2,31.6
"819","Up",81.7,145.3,156.8,30.7
"820","Up",81.6,145.9,156.5,29.8
"821","Down",86.1,146.5,156.1,29.4
"822","Up",73.4,147,155.8,28.4
"823","Down",78.1,147.7,155.5,27.6
"824","Up",63.8,148.2,155.2,25.8
"825","Down",63.2,148.6,154.8,24.1
"826","Down",44.3,148.6,154.4,23.1
"827","Up",39.4,148.7,154,22.9
"828","Up",43.3,149,153.5,22.4
"829","Up",41.2,149.3,153.1,21.8
"830","Down",60.9,150.1,152.8,21.3
"831","Down",52.8,150.9,152.5,20.7
"832","Up",45.3,151.4,152.2,19.6
"833","Up",49.6,152,151.9,18.6
"834","Down",70.6,153.1,151.9,19.6
"835","Up",68.9,153.9,152,20.8
"836","Up",74.3,154.9,152.1,22
"837","Down",75.9,155.7,152.4,23.5
"838","Down",67.4,156.3,152.5,23.8
"839","Down",60.4,156.5,152.5,23.4
"840","Up",45,156.4,152.3,21.9
"841","Up",50.1,156.5,152.2,20.4
"842","Up",55.1,156.8,152.2,19.4
"843","Down",56.4,157,152.2,18.8
"844","Down",51.3,157.4,152.2,17.9
"845","Down",48.8,157.7,152.2,17.7
"846","Up",33,157.8,152.1,16.9
"847","Up",30,158,151.9,16.4
"848","Up",27.1,158.2,151.9,15.9
"849","Up",30.4,158.3,152,15.4
"850","Down",38.4,158.2,152.2,14.4
"851","Down",33.5,158.2,152.4,13.5
"852","Down",31.9,158.2,152.5,12.8
"853","Up",27,158,152.6,12.7
"854","Down",34,157.3,152.8,12.5
"855","Up",20.6,156.3,152.8,13.1
"856","Up",35.4,155.4,152.8,13.1
"857","Down",36.7,154.5,152.8,13.4
"858","Up",31,153.5,152.9,13.7
"859","Down",32,152.7,152.9,14
"860","Down",21.4,151.9,152.8,15.5
"861","Down",17,150.7,152.7,17.7
"862","Up",13.7,149.1,152.5,20
"863","Down",12.5,147.5,152.2,22.2
"864","Down",10.9,145.9,151.9,24.3
"865","Up",9.6,144.3,151.5,26.4
"866","Up",23,143.2,151.2,28.2
"867","Down",36.8,142.3,150.9,28.7
"868","Down",32.7,141.2,150.4,29
"869","Up",24.3,139.8,149.8,30.3
"870","Up",23.7,138.2,149.2,31.7
"871","Down",28.5,136.9,148.5,32.9
"872","Up",28.3,135.5,147.9,34.3
"873","Down",39.1,134.3,147.3,34.8
"874","Up",36.6,133,146.7,35
"875","Up",44,132.1,146.2,35.1
"876","Up",47.5,131,145.7,35.3
"877","Down",64.4,130.2,145.4,33.3
"878","Down",45.1,129.2,144.9,31.7
"879","Up",43.2,128.2,144.4,30.5
"880","Down",50.9,127.7,143.8,28.8
"881","Up",48.5,127.3,143.3,27.1
"882","Up",57,127.3,142.8,25.3
"883","Down",64.8,127.4,142.4,24.4
"884","Down",49.1,127.3,141.6,23
"885","Down",46.2,127.2,140.9,21.9
"886","Down",34.6,126.6,139.9,22.3
"887","Down",30.7,125.8,138.9,23
"888","Up",25.3,124.9,137.9,23.9
"889","Down",26.3,124.4,136.9,25.4
"890","Down",19.5,123.6,136,26.5
"891","Up",14.7,122.6,135,28
"892","Down",23,121.8,133.9,29.5
"893","Up",19.2,120.7,132.7,31
"894","Up",26.2,119.8,131.7,31.5
"895","Down",31.2,118.9,130.6,32
"896","Up",29.7,117.9,129.7,32.1
"897","Up",33.7,116.7,128.9,32.2
"898","Down",35.6,115.8,128,31.8
"899","Down",24.1,114.6,126.9,32.7
"900","Up",20.1,113,125.7,34
"901","Up",19.7,111.5,124.6,35.5
"902","Up",20.3,109.8,123.5,35.2
"903","Down",27.6,108.1,122.4,35
"904","Down",25.9,106.6,121.3,34.7
"905","Down",23.9,105.1,120.4,34.5
"906","Down",16,103.8,119.2,34.8
"907","Down",10.8,102.3,118,35.7
"908","Up",8.3,100.9,116.8,36.8
"909","Up",12.3,99.5,115.6,37.7
"910","Down",22.4,98.4,114.6,38.4
"911","Up",16.1,97.3,113.6,39.5
"912","Up",19.6,96,112.7,40.7
"913","Up",43.2,95.2,111.8,39.9
"914","Up",47.3,94.4,111.1,39.1
"915","Up",56.4,93.6,110.4,37.5
"916","Down",69.1,93.2,109.8,35
"917","Up",69.2,92.8,109.1,33
"918","Down",76.4,92.5,108.5,31.5
"919","Down",74.8,92.6,108,30.5
"920","Up",71.5,92.8,107.6,29.2
"921","Up",75.9,93.1,107.1,28.1
"922","Down",85.1,93.9,106.8,28.6
"923","Down",63.4,94.2,106.4,27.5
"924","Up",51.3,94.2,105.8,25.9
"925","Up",50.3,94.3,105.2,24.2
"926","Down",48.9,94.5,104.6,22.5
"927","Up",43.2,94.9,103.9,21
"928","Down",42,95.5,103.3,19.8
"929","Up",33.6,95.8,102.7,19
"930","Up",31.2,96,102,18.3
"931","Up",36.7,96.6,101.3,17.3
